year,team,yards
2024,jets,182
2024,jets,215
2024,pats,154
2024,lions,362
2024,rams ,342
2024,niners,148
2024,chiefs,262
2024,colts,280
2024,dolphins,139
2024,dolphins,235
2024,hawks,283
2024,titans,323
2024,texans,131
2024,ravens,180
2024,jags,263
2024,cardinals,232
2023,jets,275
2023,jets,236
2023,pats,265
2023,pats,169
2023,chiefs,186
2023,chiefs,233
2023,dolphins,359
2023,dolphins,320
2023,jags,359
2023,raiders,274
2023,chargers,237
2023,bengals,258
2023,eagles,339
2023,commanders,218
2023,broncos,177
2023,cowboys,94
2023,giants,169
2023,bucs,324
2022,jets,147
2022,jets,205
2022,pats,254
2022,pats,223
2022,lions,253
2022,rams ,297
2022,chiefs,329
2022,dolphins,352
2022,dolphins,304
2022,dolphins,400
2022,titans,317
2022,ravens,213
2022,vikings,330
2022,packers,218
2022,bengals,264
2022,browns,197
2022,steelers,424
2022,bears,172
2021,jets,239
2021,jets,366
2021,pats,308
2021,pats,314
2021,pats,145
2021,chiefs,329
2021,chiefs,315
2021,colts,209
2021,dolphins,249
2021,dolphins,179
2021,titans,353
2021,texans,248
2021,jags,264
2021,commanders,358
2021,steelers,270
2021,panthers,210
2021,saints,260
2021,bucs,308
2021,falcons,120
2020,jets,307
2020,jets,312
2020,pats,320
2020,pats,154
2020,rams ,311
2020,niners,375
2020,chiefs,287
2020,chiefs,122
2020,colts,324
2020,dolphins,224
2020,dolphins,415
2020,hawks,415
2020,titans,263
2020,ravens,206
2020,cardinals,284
2020,raiders,288
2020,chargers,157
2020,broncos,359
2020,steelers,238
